current_location,current_work,previous_work,latest_Education,majro,search_school,major
"Mountain View, California, United States",VP Sourcing and Procurement at Google,Partner at McKinsey & Company,+ 1 more,Electrical Engineering,Brown University,
"San Francisco, California, United States",Chief Marketing and Communications Officer at Asian Art Museum,Director of Marketing and Communications at University of Pennsylvania Museum of Archaeology and Anthropology,Brown University,English and American Literature,Brown University,
Greater Philadelphia,Head of product & solution security - Digital Ecosystem at Siemens Healthineers,Customer Projects Manager at Orange,Brown University,Cybersecurity,Brown University,
San Francisco Bay Area,"Vice President, DoorDash Ads at DoorDash","Vice President, Global Business Development at DoorDash",Brown University,Economics & South Asian Studies,Brown University,
"Arlington, Virginia, United States",Chief Information Security Officer at The Motley Fool,"VP, Intelligence at The Motley Fool",Brown University,Computer Science,Brown University,
"New York, New York, United States",Product Marketing Manager (1st Marketing Hire) at Secureframe,"Fellow, Spring Cohort at Reforge",Brown University,History,Brown University,
New York City Metropolitan Area,"AVP, Analytics - Home at Synchrony",Personalized Engagement Neighborhood Decision & Predictive Analytics Lead at Citizens,Brown University,Data Science,Brown University,
United Kingdom,"Investment & Strategy - Senior Project Manager - EU, LATAM & Partner Clubs at City Football Group",Head of Business Development & Partnerships at Barnsley FC,IE Business School,,Brown University,
"New Orleans, Louisiana, United States",Co-Founder at Prokeep,"Co-Founder, Board Member at NO/LA Angel Network",2002–2006,Mechanical Engineering,Brown University,
"New York, New York, United States",Chief Financial Officer at Basin Holdings,"Executive Vice President, Business Development at Basin Holdings",2009–2013,"Commerce, Organization & Entrepreneurship",Brown University,
"Wayland, Massachusetts, United States",Owner and Creative Director at Little Gem Resorts,Owner at Lovango Resort and Beach Club,Brown University,English  and History,Brown University,
"Sarasota, Florida, United States",President & Chief Executive Officer  at Lumos Diagnostics,Consultant at Quidel,Wills Eye Hospital,Cornea & External Disease,Brown University,
"San Francisco, California, United States",Director of Sales Enablement at Everlaw,Senior Sales Enablement Manager at Everlaw,Brown University,"Public Policy, Magna Cum Laude",Brown University,
"New York, New York, United States","Director, Emergency Management & Planning at WeWork","Senior Manager, Emergency Management & Planning at WeWork",Georgetown University,International Law and Global Security,Brown University,
"Santa Monica, California, United States",Founding Partner at 180 Games,Founder/General Manager at The Rundown,2000–2002,"Marketing, Strategy",Brown University,
Greater Boston,"Associate Director Data Science, Chemical Biology & Therapeutics (CBT) at Novartis","Product Owner, Analytics Asset, Data42 at Novartis",Harvard University,Biostatistics,Brown University,
Greater Boston,"Associate Director Data Science, Chemical Biology & Therapeutics (CBT) at Novartis","Product Owner, Analytics Asset, Data42 at Novartis",Harvard University,,Brown University,
Denver Metropolitan Area,Assistant Vice President/Portfolio Management at Great-West Investments,Principal- Analyst and Portfolio Manager at Cambiar Investors,Education (same page),Business Economics & Classics,Brown University,
Greater Boston,,Chief Marketing Officer at CarGurus,Stanford University Graduate School of Business,History,Brown University,
"San Francisco, California, United States","Partner at Orrick, Herrington & Sutcliffe LLP","Senior Associate at Orrick, Herrington & Sutcliffe LLP",Columbia University School of Law,Finance / Management,Brown University,
Greater Boston,"Senior Scientist at Prime Medicine, Inc.","Scientist - Pulmonary Discovery Pharmacology at Translate Bio, A Sanofi Company",Brown University,"Molecular Pharmacology, Physiology, and Biotechnology",Brown University,
Greater Boston,,"Executive Vice President, Strategic Operations (Strategy & M&A) at Babcock Power",2005–2007,Finance,Brown University,
"San Mateo, California, United States","President, Corporate Strategy & Development at Chooch AI","Director, Investment Counselor Citi Private Bank at Citi",Brown University,Electrical Engineering,Brown University,
"New York, New York, United States",Associate at ff Venture Capital,Co-Founder and Managing Director at Athena Fellowship,Columbia Business School,Finance,Brown University,
"Vancouver, British Columbia, Canada",Content Marketing Lead at Striim,Growth Marketing Consultant at Digioh,2001–2006,Cell and Molecular Biology,Brown University,
"San Francisco, California, United States",Deputy General Counsel (CA Registered In-House Counsel) at Zoom Video Communications,Vice President & Associate General Counsel (CA Registered In-House Counsel) at Splunk Inc.,Emory University School of Law,Law,Brown University,
"Pleasanton, California, United States",CEO at ProSomnus(tm) Sleep Technologies,President at MicroDental Laboratories,1992–1996,"Sociology, Economics, Statistics",Brown University,
"Brooklyn, New York, United States","Senior Manager, Ecommerce at Buffy","Manager, Growth Marketing at Buffy",Brown University,Urban Studies/Affairs,Brown University,
"New York, New York, United States",Managing Director at Advantage Capital,Chief Executive Officer at VivoPower,University of Cape Town,Economics and Political Science,Brown University,
"Athens, Attiki, Greece",CEO at INTRASOFT International,"CEO at Econais, Inc",1994–1996,Electrical Engineering and Computer Science,Brown University,
San Francisco Bay Area,"VP of Engineering, Head of Udemy Business Engineering at Udemy",Sr. Director of Engineering at Udemy,Brown University,Computer Science and Math,Brown University,
"Dallas, Texas, United States",CEO at Lupagen,"Vice-President, Corporate Strategy & Portfolio Management at Mallinckrodt Pharmaceuticals",The Johns Hopkins University School of Medicine,Biology & Political Science,Brown University,
Los Angeles Metropolitan Area,"Co-Founder, Co-CEO at Business Talent Group",Strategy Consultant and Writer at Independent Consultant,The Wharton School,,Brown University,
Denver Metropolitan Area,VP of Engineering at Guild Education,"SVP of Software Engineering at DHI Group, Inc.",1995,Computer/Electrical Engineering,Brown University,
"Toronto, Ontario, Canada",Co-Founder and CEO at NeedsList,Co Founder at Prosper Community,1998–2001,"Urban Planning, Community Development",Brown University,
"Houston, Texas, United States",COO at Vitol Inc.,Managing Director at Goldman Sachs,Brown University,Economics / History,Brown University,
"Malvern, Pennsylvania, United States",President and CEO at Azitra Inc,President and CEO at Complexa Inc.,1993–1995,Economics,Brown University,
Washington DC-Baltimore Area,"Vice President - Strategic Growth, Solutions at Booz Allen Hamilton","Vice President, Product Strategy and Development at Intersections Inc.",University of Michigan - Stephen M. Ross School of Business,Marketing and Information Systems,Brown University,
"Beverly Hills, California, United States","Chief Operating Officer at Exploding Kittens, Inc.",Executive Producer at Fourth Wall Studios,Brown University,,Brown University,
"San Rafael, California, United States",CTO at Tiled,Advisor at ZibaHub,2004–2005,Computer Science,Brown University,
"Los Angeles, California, United States",Co-Founder at Tyba,"Business Development and Product Partnerships (Google X) at X, the moonshot factory",Brown University,,Brown University,
"New York, New York, United States",Executive Director & Co-Founder at The Brotherhood/Sister Sol,,Yale Law School,,Brown University,
United States,Co-Founder and CTO at Pointz at Pointz,Research Engineering and Design Intern  at Adobe,Brown University,,Brown University,
Berlin Metropolitan Area,Director of Game Monetisation at Miniclip,Design and Product Management Director at Mobile F2P Consultancy,Sofia University St. Kliment Ohridski,Mathematical Statistics and Probability,Brown University,
"New York, New York, United States",Chief Transformation Officer at Mount Sinai Health System,President and CEO at Nassau Health Care Corporation,Columbia University in the City of New York,Health Policy and Management,Brown University,
"Atlanta, Georgia, United States","Founder & CEO at Loupe, Inc. — Streaming art platform","Apple Music Software Author; Audio Industry Artist Relations at Lynda.com (LinkedIn Learning), Hal Leonard, Apogee Electronics, Sound on Sound",Education (same page),Music and English Literature,Brown University,
"Naperville, Illinois, United States",Senior Marketing Director at Sara Lee Frozen Bakery,Marketing Director at Diamond Crystal Brands,2005–2007,Business Economics,Brown University,
Greater Boston,Vice President of Sales at Enfusion,Senior Director of Pre Sales at Broadridge,Brown University,Business Economics,Brown University,
"London, England, United Kingdom",Co-Founder at AMP Community,Chief of Staff to the CEO at Monzo Bank,Brown University,International Development,Brown University,
"New York, New York, United States",Founder at Expertly.com,Founder at Startpage.com,CFA Institute,,Brown University,
United States,Chief Marketing Officer at Boston Globe Media,Principal at Byrdsnest - Independent Consultant,NYU Stern School of Business,Marketing and Management,Brown University,
"New York, New York, United States",Co-Founder & CEO at Huron,Retail and E-Commerce Consultant at The Goods Dept,Stanford University Graduate School of Business,Economics,Brown University,
Greater Chicago Area,Co-Founder & Co-CEO at Tegus,Analyst at Overbrook Management,Brown University,Economics,Brown University,
Greater Chicago Area,Co-Founder & Co-CEO at Tegus,Manager at AlphaSights,Brown University,Economics,Brown University,
"Los Angeles, California, United States",Chief Executive Officer at AlacrityCare,Oncology Director at Beverly Hills Cancer Center,Brown University,Public Health,Brown University,
New York City Metropolitan Area,Chief Operating Officer at Student Leadership Network,"SVP, Strategy, Analysis & Collaboration at Showtime Networks Inc.",Harvard Business School,Modern Culture & Media,Brown University,
"Mountain View, California, United States",CEO & Founder at CommerzNXT Inc.,Product Management at Contiq Inc.,Brown University,Engineering/Industrial Management,Brown University,
"New York, New York, United States",Co-founder at Block Renovation,Co-founder at Casper,Brown University,,Brown University,
"Washington, District of Columbia, United States",CEO at Caribou,Cofounder & CEO at homezen,University of Virginia,Business Administration,Brown University,
"Boston, Massachusetts, United States",CEO at Percy,"VP, Sales and Marketing at Medical Record Associates",Brown University,"Commerce, Organizations, and Entrepreneurship",Brown University,
"Mountain View, California, United States","Laltal CEO and Founder at LalTal, Inc.",Synthetic Biologist at NASA Ames Research Center,Brown University,"Molecular Biology, Cell Biology and Biochemistry",Brown University,
"Atlanta, Georgia, United States",President of Acute Care Programs | Chief Operating Officer | Co-owner at 1Unit,"Manager and Producer, Client Experiences at Deloitte",Brown University,Engineering,Brown University,
"Brooklyn, New York, United States",CEO and Founder at Aduri,Lead Mobile App Product Manager at Blue Label Labs,New York University,Interactive Technology (ITP),Brown University,
"Kansas City, Missouri, United States",Chief Executive Officer at Swope Health Services,Chief Operations Officer at Community Health Center Association of Mississippi,Howard University,Journalism,Brown University,
United States,Chief Executive Officer at ReUp Education,Vice President of Learning Marketplace Solutions at Guild Education,Harvard University,Focus: Leadership & Economics,Brown University,
"New York, New York, United States",Chief Executive Officer at Garner Health,Leadership Team at Oscar Health,Brown University,Mathematics,Brown University,
"Portsmouth, Rhode Island, United States",CEO and Founder at bioprocessH2O LLC,Co-Founder - Shareholder at BioProcess Algae,Providence College and Brown University,,Brown University,
"Los Angeles, California, United States",CEO & Co-Founder at Clear Health Advisors,Motion Picture Agent at Creative Artists Agency,Brown University,Business/Healthcare,Brown University,
"New York, New York, United States",Founding Chief Operating Officer at Institute for Advertising Ethics,Senior Leadership Team - Vice President of New York  at Empower,Brown University,Classics,Brown University,
Greater Chicago Area,CEO at Imagine Homes Management,"Vice President at Builtech Services, LLC",Harvard Business School,General Management,Brown University,
"New York, New York, United States",Cofounder & CEO at Oso,Mentor at iMentor,Brown University,Political Science (with Honors),Brown University,
Singapore,Co-Founder & CEO at FishyHub,Managing Consultant at IBM,Brown University,"Electrical Engineering, Economics",Brown University,
Vietnam,"Cofounder, CEO at Vietcetera Media","Cofounder, Partner at Anan Saigon",Brown University,,Brown University,
"Mountain View, California, United States",CEO at GreenSight,Small Unmanned Aerial Systems (SUAS) Lead at Aurora Flight Sciences Corporation,Brown University,Engineering,Brown University,
South Korea,President & Chief Innovation Officer at Hyundai Motor Group,Executive VP at Samsung Electronics,Brown University,Applied Mathematics,Brown University,
"London, England, United Kingdom",Co-Founder & CTO at Dala,Software Engineer at TQ Tezos,Brown University,Cognitive Science,Brown University,
"San Francisco, California, United States",Founder and CEO at Funworks,"Creative Director/Partner at CC&F (Charney, Copiz & Fun)",Brown University,Theater/History,Brown University,
"Scotch Plains, New Jersey, United States","Executive VIce President, Chief Marketing Officer at Source Communications",Brand Strategy Consultant at Decode_M,Columbia University - Columbia Business School,Marketing,Brown University,
"Washington, District of Columbia, United States",Chief Operating Officer at Gallaudet University,Chief Innovation Officer at Communication Service for the Deaf (CSD),Brown University,Finance,Brown University,
"San Carlos, California, United States","VP of OPS & Manufacturing Engineering at Sight Sciences, Inc.","Sr. Director Special Projects in R&D at Sight Sciences, Inc.",1993–1997,Mechanical Engineering,Brown University,
"New York, New York, United States",Founder at Agnes Intelligence,Founder at John H Snyder PLLC,1999–2002,History,Brown University,
"New York, New York, United States","Co-Founder and Chief Marketing Officer at oneKIN, Inc.",Brand & Digital Marketing Consultant at Self Employed,2004–2008,Political Science,Brown University,
India,Chief Operating Officer at Bombay Shirt Company,Advisor at Hopscotch,Brown University,Business/Managerial Economics & Psychology,Brown University,
Los Angeles Metropolitan Area,Venture Partner at Republic,Founder at Potion,Brown University,Development Studies,Brown University,
"Fresno, California, United States",Senior Vice President Operations at Community Medical Centers,Senior Vice President Operations (interim) at Community Medical Centers,Brown University,Executive Masters in Healthcare Leadership,Brown University,
San Francisco Bay Area,"Chief Strategy and Growth Officer at InterDigital, Inc.",Non Executive Director at 7digital Group,+ 1 more,Business,Brown University,
"Boston, Massachusetts, United States",Executive Vice President at Gilbane Building Company,Division Leader - Gilbane Southwest at Gilbane Building Company,2003–2005,International Relations,Brown University,
"Emeryville, California, United States",Chief Operating Officer at VDX.tv,Chief Operating Officer at Exponential,Brown University,,Brown University,
"New York, New York, United States","SVP, Head of North American Marketing at fuboTV","VP, Head of Marketing at DramaFever at Warner Bros. Entertainment Group of Companies",Brown University,Economics,Brown University,
Atlanta Metropolitan Area,"Vice President and Head of Marketing, Jamba at Focus Brands LLC","GM and Brand Leader, Refreshment Tea Brands at The Coca-Cola Company",University of Pennsylvania - The Wharton School,"Marketing, Strategy",Brown University,
"New York, New York, United States","VP Design + Strategy, Technology at WeWork",Head of Design + Research & Strategy in Tech at WeWork,2003–2005,Product Design,Brown University,
"San Francisco, California, United States",Engineering Manager at Brex,Technical Lead / Manager at Brex,Brown University,"Computer Science, Economics",Brown University,
Singapore,Founder at Chloe&Kelly's Talk Room,Chief Marketing Officer at BitMart,美国布朗大学,Public Humanities,Brown University,
"Miami, Florida, United States",Vice President of Operations at Roundhill Investments,Head of Trading & Information Security at Lucerne Capital Management,Brown University,Cybersecurity,Brown University,
"Tampa, Florida, United States",President at FinFit Life,SVP of Sales Development at Foresters Financial Services,Brown University,Economics and Sociology,Brown University,
"New York, New York, United States",Co-founder & Board Member at Tomorrow Health,Co-founder & CTO at Tomorrow Health,Brown University,Music Composition and Literary Theory,Brown University,
United States,Managing Director at Insight Partners,President and CEO at HealthcareSource,1984–1985,Math and Science Education,Brown University,
"Boston, Massachusetts, United States","Managing Director at The HYM Investment Group, LLC",Executive Vice President and Partner at JPI Companies,Suffolk University Law School,Law,Brown University,
"New York, New York, United States",Founder at Superegg®,"Vice President, Digital Design at Barneys New York",Rhode Island School of Design,Graphic Design,Brown University,
"Brookline, Massachusetts, United States","Director I, Data Science at Liberty Mutual Insurance","Assistant Director, Data Science at Liberty Mutual Insurance",Brown University,History,Brown University,
"Stockholm County, Sweden",CTO/Co-Founder at Sum.Health,Advisor at Pace,Brown University,Computer Science,Brown University,
"San Jose, California, United States",Global MD for AI Research and Products for Business Process Outsourcing at Accenture,"Vice President, AI Solutions at SymphonyAI",Brown University,Electrical Engineering,Brown University,
"St Louis, Missouri, United States","Director - E-Commerce Product Solutions at Americold Logistics, LLC.",Director Of Information Technology at Coldco Logistics,1986–1990,Computer Science,Brown University,
"Oslo, Oslo, Norway",Director Of Innovation at Superside,Engagement Manager at McKinsey & Company,Brown University,Economics,Brown University,
"New York, New York, United States",Chief Financial Officer at Tastemade,Head of Financial Planning & Analysis at Tastemade,Massachusetts Institute of Technology - Sloan School of Management,"Commerce, Organizations, and Entrepreneurship",Brown University,
"New York, New York, United States",Founder & CEO at Wildfire Strategies,Senior Vice President at Corporate Counseling Associates,Certified Mentor Coach,Leadership Coach Training,Brown University,
"New York, New York, United States",Founder at Excelis Consulting LLP,Associate Dean for Education Administration at Columbia University College of Physicians and Surgeons,Emory University - Goizueta Business School,Strategy,Brown University,
"Atlanta, Georgia, United States","Medical Intuitive Healer +  Amazon No. 1 Bestselling Author + Host, The Natural Healing Show at www.catherinecarrigan.com",,1977–1981,Art History,Brown University,
"Karāchi, Sindh, Pakistan",Founder & Chief Executive Officer at Frontier,Research Sabbatical at Biometrica,Brown University,"History, Economics",Brown University,
United States,Chief Business Development Officer at Privia Health,Head of Business Development at Brighton Health Group (Parent of Privia Health),Brown University,"Political Science, Economics",Brown University,
Greater Boston,Vice President - Artificial Intelligence and Machine Learning at Fidelity Investments,Manager of Research and Development at Oracle,Brown University,Computer Science,Brown University,
"New York, New York, United States","Global Marketing Manager - Face, Collections & Collaborations at MAC Cosmetics (Estee Lauder Companies)","Talent Partnerships and Events Manager, North America + Global at CELINE (LVMH)",Brown University,Comparative Literature in English and French,Brown University,
"Boulder, Colorado, United States","Director Of User Experience, Apps and Connected Devices at Specialized Bicycle Components",Lead Product Experience Designer at Mondo Robot,Brown University,Environmental Studies,Brown University,
"New York, New York, United States",Managing Director - Americas at Essentia Analytics,"Founding Principal, COO and Investment  Committee Member at Petra Partners",London School of Economics and Political Science,Political Economy,Brown University,
United States,"Vice President at O'Connor Construction Management, Inc.",Independent Consultant at Self-employed,Brown University,Ethics and Political Philosophy,Brown University,
"Miami, Florida, United States",Founder & Managing Partner at Meta4 Capital,Co-Founder & Managing Partner at Iterative Capital Management,Harvard Law School,Political Science; Sociology,Brown University,
"Indianapolis, Indiana, United States","Global Trial Director, Radioligand Therapy Trial Management at Novartis Oncology","Sr Director, Clinical Operations at Endocyte",New York University Wagner School of Public Service,Health Policy and Management,Brown University,
"New York, New York, United States","Director, Acquisition Marketing at Knoll","Partner, Portfolio Management at UM Worldwide",Brown University,Latin American Studies,Brown University,
"Englewood, Colorado, United States","Head of Product, Digital Brand Experience Suite as a Service at Amdocs","VP, Head of Product Management Amdocs Techology at Amdocs",1990–1994,Inorganic Chemistry,Brown University,
San Francisco Bay Area,"VP, C&I Strategic Alliances at Omnidian","Director, Strategic Accounts at PV Pros, Inc.",+ 2 more,Computer Science,Brown University,
"Charlotte, North Carolina, United States",Founder at Physician Side Gigs,"Clinical Assistant Professor of Radiology, Musculoskeletal and Breast Imaging at University of North Carolina at Chapel Hill",Brown University,Neuroscience,Brown University,
"Chicago, Illinois, United States",Principal at Standard Communities,,"Harvard University, John F. Kennedy School of Government",Public Policy,Brown University,
"Glastonbury, Connecticut, United States",CFO at The Herb Chambers Companies,Senior Vice President at Citizens Bank,Brown University,Business Economics & Organizational Behavior and Management,Brown University,
Greater Boston,"Director, Retail Strategy at CVS Health","Vice President of Client Services and Client Transformation Lead, C Space Health (an Omnicom agency) at C Space",+ 2 more,Marketing,Brown University,
"Mountain View, California, United States",Data Scientist at TikTok,Research Fellow at Brown University Biomedical Engineering,Brown University,Data Science,Brown University,
"San Francisco, California, United States","Engineering Manager, Machine Learning at One Medical","Senior Software Engineer, Machine Learning at One Medical",Georgia Institute of Technology,Computer Science,Brown University,
"Düsseldorf, North Rhine-Westphalia, Germany",EU Cluster Human Resources Director at Vodafone,Human Resource Director Spain at Vodafone,Brown University,Strategy,Brown University,
San Francisco Bay Area,"Vice President, Treasury, Mid-Market at HighRadius",Managing Director ➝ Growth Strategies | Sales | Professional Services | SaaS | Treasury | Payments at Kyriba,Stanford University,Computer Science,Brown University,
"Tampa, Florida, United States",Vice President at National Diversity Council,Founder at National Coalition for Racial Justice and Equity,Brown University,Double Major in Anthropology & Ethnic Studies,Brown University,
New York City Metropolitan Area,"CISO, Americas Division at ASSA ABLOY Opening Solutions Americas","VP, Information Security Officer at Primacy",LSU Shreveport,Data Analytics Specialization,Brown University,
Greater Oxford Area,Founder & Principal at Scion Consultants,"Director of Integration, New Ventures Group at McKinsey & Company",2003–2005,Law,Brown University,
"Oakland, California, United States",Principal Attorney at Terp Law,Supervising Attorney - Coronavirus Job Protection Helpline at Center for Workers' Rights,"University of California, Berkeley - School of Law",,Brown University,
"Greenville, South Carolina, United States",President and COO(interim) at Kent Hospital,Chief Medical Officer at Kent Hospital,Texas A&M University,Biochemistry,Brown University,
New York City Metropolitan Area,Chief Executive Officer at Advanced Threat Response Holdings,"Vice President and General Manager, Global Security Services at IBM Security Business Unit",1983–1987,Economics / Business,Brown University,
San Francisco Bay Area,Co-founder and CEO at Vouch Insurance,"Co-founder, Chairman at Funding Circle US",Stanford University Graduate School of Business,"Finance, Entrepreneurship",Brown University,
New York City Metropolitan Area,,"Vice President, New Media & Content Marketing at Major League Baseball",Brown University,Literature,Brown University,
Greater Philadelphia,"Senior Vice President, Chief Medical Officer at Onslow Memorial Hospital-UNC Health",Medical Director of Population Health-Jefferson Medical Group at Abington - Jefferson Health,Harvard T.H. Chan School of Public Health,Health/Health Care Administration/Management,Brown University,
"Del Mar, California, United States",Co-Founder and Managing Partner at Purpose Venture Group,Fellow at Beeck Center for Social Impact + Innovation,Georgetown University Law Center,Political Science,Brown University,
"Mumbai, Maharashtra, India",Founder at Project Rangeet,Director at Global Mangrove Trust,Brown University,Computer Science,Brown University,
"Redmond, Washington, United States",Sr Manager - Product Management at Best Buy,Product Management at Amazon Web Services (AWS),1993–1995,,Brown University,
Greater Boston,Chief Medical Officer at Abpro,Senior Medical Director at Celgene,Brown University,,Brown University,
"Chicago, Illinois, United States",President at Jirsa Construction Company,,Brown University,"Classics and Classical Languages, Literatures, and Linguistics",Brown University,
"New York, New York, United States","Principal, The Catalyst Group at Incline Equity Partners",Vice President Of Commercial Operations at A Place for Mom,Harvard Business School,History,Brown University,
"New York, New York, United States",Partner at Kirkland & Ellis,"Partner at Skadden, Arps, Slate, Meagher & Flom LLP and Affiliates",Columbia University School of Law,Law,Brown University,
Greater Boston,Chief Compliance and Privacy Officer at Insulet Corporation,"Health Care Attorney, Consultant & Blogger at The Harlow Group LLC",Boston University School of Law,Health Law,Brown University,
"Boston, Massachusetts, United States","Program Director,  Office of Patient Experience/Center for Quality and Safety at Massachusetts General Hospital","Senior Program Manager, Center for Quality and Safety Process Improvement at Massachusetts General Hospital",Harvard University,Health Policy & Management,Brown University,
New York City Metropolitan Area,"Global Director - Financial Services Industry Solutions at Aerospike, Inc.","Vice President - Sales, Partnerships at Io-Tahoe (acquired by Hitachi Vantara)",Yale School of Management,,Brown University,
"San Francisco, California, United States",Partner at True Search,Principal at True Search,Brown University,Women's Studies,Brown University,
"Boulder, Colorado, United States","SVP, Health Solutions | President, AMA Innovations at American Medical Association",CEO at Shareable Ink,Brown University,Cognitive Science,Brown University,
New York City Metropolitan Area,Pediatrician at Allied Physicians Group,,Brown University,,Brown University,
New York City Metropolitan Area,Advisor at Better,Head of Portfolio Operations at Human Capital,Brown University,Africana Studies,Brown University,
Los Angeles Metropolitan Area,Chief Executive Officer at DoctusTech,"Medical Director, Population Health, CA markets at Optum",Brown University,Biomedical Ethics,Brown University,
"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Chief Executive Officer at Enfrasys Solutions Sdn Bhd,"Senior Client Manager, Public Sector at IBM",1989–1993,Mechanical Engineering,Brown University,
United States,"Vice President, Chief Information Security Officer at Marathon Petroleum Corporation","Chief Information Security Officer and Vice President, IT Architecture at Halliburton",Brown University,Cybersecurity,Brown University,
"Vancouver, British Columbia, Canada",COO & Co-Founder at Pairadime,"Senior Director, Business Development at 3vGeomatics",Massachusetts Institute of Technology - Sloan School of Management,Materials Engineering,Brown University,
San Francisco Bay Area,Chief Executive Officer at Onfido,Advisory Board at Paradigm4,Harvard Business School,Electrical Engineering,Brown University,
"New York, New York, United States","Chief Operating Officer at Building for the Arts NY, Inc.","Chief Of Staff at Building for the Arts NY, Inc.",Columbia Business School,Public and Private Sector Organizations,Brown University,
"East Hartford, Connecticut, United States","President & CEO at Doosan Fuel Cell Co., Ltd.",Chief Strategy Officer at Doosan Heavy Industries & Construction,Harvard University,Economics,Brown University,
Greater Boston,Co-Founder | Chief Operating Officer at True Fit Corporation,Co-Founder & Chief Customer Officer at True Fit Corporation,1996–2000,International Commerce,Brown University,
United States,CEO & Founder at KerlyGirl,,Brown University,Political Science and Government & Africana Studies,Brown University,
"San Francisco, California, United States",Head of Sales and Account Management at Faire,"Contractor, Business Operations at MasterClass",Stanford Graduate School of Business,English Literature,Brown University,
"Austin, Texas, United States",General Manager of Mortgage at Orchard,Chief Strategy Officer at LoanMonkey,Brown University,Applied Mathematics,Brown University,
New York City Metropolitan Area,Vice President Video Engineering at Peacock TV,"Senior Director, Video Platform Engineering at NBC Universal",Brown University,Music Composition,Brown University,
"Newport, Rhode Island, United States",President & CEO at Clarke Valve,Systems Supplier Performance Engineering Manager at Embraer,The Wharton School,Scaling Ventures: Developing the Playbook for Profitable Growth,Brown University,
"Johnston, Rhode Island, United States","CEO, Founder and Owner of Aviva Electric Bikes at Aviva Bikes",President / CEO at Porino's Gourmet Foods,Bryant University,Marketing /Finance,Brown University,
New York City Metropolitan Area,"EVP, Chief Financial Officer at Element Solutions Inc",Vice President and Corporate Treasurer at Element Solutions Inc,Brown University,Biomedical Engineering; Economics,Brown University,
"New York, New York, United States",Chief Growth Officer at MiniLuxe,"North America Marketing, Bulleit Frontier Whiskey at Diageo",Harvard Business School,Biology,Brown University,
"Boston, Massachusetts, United States",Chief Business Officer at ElevateBio,"VP, Head of Business Development & Strategy at Evelo Biosciences",Harvard Business School,Chemical Engineering,Brown University,
"Oakland, California, United States",Head of Strategy & Revenue Operations at Even,Solutions Engineer at Even,Brown University,,Brown University,
"Tampa, Florida, United States",Chief Financial Officer at Symphonic Distribution,Chief Financial Officer at Florida Auto Recycling Partners,1996–2000,,Brown University,
Greater Seattle Area,co-founder at CURIO,co-founder at Mixcard,2000–2004,Sociology with Honors,Brown University,
San Francisco Bay Area,Founder & CEO at Komaza,Research Associate at KEMRI-Wellcome Trust,Brown University,Neuroscience,Brown University,
San Francisco Bay Area,"Executive Leadership Coach, Principal & Founder at Integral Response",Fractional CTO & Executive Coach at LiveRamp,Brown University,Computer Science,Brown University,
"Truckee, California, United States",Chief Strategy Officer at See Change Institute,"Senior Managing Consultant at ILLUME Advising, LLC","University of California, Berkeley",Biology,Brown University,
"Norwalk, Connecticut, United States",Sr R&D Manager - Simple Skincare at Unilever,Sr R&D Manager - Consumer Technical Insights (CTI)  at Unilever,Brown University School of Engineering,Chemical and Biomolecular Engineering,Brown University,
"Boston, Massachusetts, United States","Vice President, Strategy and Marketing at Thermo Fisher Scientific","Vice President, Corporate Strategy at Thermo Fisher Scientific",Harvard Business School,Electrical Engineering,Brown University,
New York City Metropolitan Area,Chief Growth Officer at The Acceleration Project,Chief Operating Officer at The Acceleration Project,Columbia University - Columbia Business School,Marketing and Finance,Brown University,
"Houston, Texas, United States",Director of Procurement - North America at Fives,Sr. Manager - Global Strategic Sourcing at Hewlett Packard Enterprise,Massachusetts Institute of Technology,Supply Chain Management & Logistics,Brown University,
Kenya,"Co-Founder, Chief Technology and Risk Officer at Lendable Marketplace",Systems Design and Text Programming at A Piece of Work,Brown University,Computer Science,Brown University,
"Tucson, Arizona, United States",Senior Vice President Of Technology at pMD,Vice President of Software Engineering at pMD,Brown University,Computer Science,Brown University,
United States,"Managing Director, Chief Operating Officer at Vestar Capital Partners",,Brown University,,Brown University,
Greater Seattle Area,Chief Product Officer at HubSpot,"Senior Director, Google Ads at Google",Brown University,,Brown University,
"Los Angeles, California, United States",Co-Founder at Heirloom,Business Development & Operations at Hulu,Harvard Business School,,Brown University,
San Francisco Bay Area,Head of Marketing at Touch of Modern,"Principal at Wehmann Consulting, LLC",Brown University,Political Science,Brown University,
Greater Boston,"Vice President, Business Development & Strategy at Stealth BioTherapeutics","Executive & Senior Director, Business Development & New Product Planning at Stealth BioTherapeutics",University of Virginia - Darden Graduate School of Business Administration,Biology,Brown University,
Greater Boston,Director Q/A Engineering at Akamai Technologies,Sr. Manager Q/A Engineering at Akamai Technologies,+ 1 more,Computer Science,Brown University,
"Glencoe, Illinois, United States","Vice President, Global Marketing, Home Storage (Ziploc) and Global Shoe Care  at SC Johnson","Vice President, Consumer Insights & Business Analytics at SC Johnson",2002–2004,,Brown University,
"Mumbai, Maharashtra, India",Founder at Kool Kanya,Intern for the Strategy sector at McKinsey & Company,Brown University,"B.A. Political Science, International and Comparative Track",Brown University,
"New York, New York, United States",President & CEO at Hunter Douglas North America,President & CEO at The Robert Allen Group,Harvard Business School,Business Management,Brown University,
