current_location,current_work,previous_work,latest_Education,majro,search_school,major
"Apollo Beach, Florida, United States",Co-Founder & Chief Operating Officer at Diverse Workforce Consultants,Vice President; Senior Labor Consultant at Reliant Labor Consulting,Washington University in St. Louis School of Law,Law,Brown University,
"Los Angeles, California, United States",CEO & Co-Founder at Forager,Partner at Phyllis Street Consulting,UCLA Anderson School of Management,Entrepreneurship,Brown University,
"New York, New York, United States",EVP Corporate Strategy | M&A at Pluralsight,Vice President Strategy and Business Development - Partner Ecosystem at IBM,1998–2000,Competitive Strategies,Brown University,
"Los Angeles, California, United States","Chief Executive Officer at Praedicat, Inc.",Senior Economist at RAND,Brown University,Economics,Brown University,
United States,"CEO, Founder at Intimately.co",Head of Marketing at Actiondesk,Brown University,"Visual Arts, French and Francophone Studies",Brown University,
"Houston, Texas, United States",CEO/Co-Founder at Solugen,MD/PhD  at UT Southwestern Medical Center,2006–2010,"Neuroscience, Computational Biology",Brown University,
New York City Metropolitan Area,Chief Operating Officer at Cater2.me,Chief Of Staff at Cater2.me,Brown University,"International Relations, Economics, Arabic",Brown University,
Greater Boston,"Vice President, U.S. Group Procurement at Toray Industries, Inc.","Vice President, Procurement & Engineering at Toray Plastics (America), Inc.",MIT Sloan School of Management,Operations Management,Brown University,
"Stamford, Connecticut, United States",Group Chief Financial Officer at Point72,Business Unit Leader at SoFi,Brown University,Double Major: Business Economics; Organizational Behavior & Mgmt,Brown University,
"Austin, Texas, United States",Co-Founder at Ethos Life,"Co-Founder, CPO/CTO at Ovid Corp.",Stanford University Graduate School of Business,Applied Mathematics - Economics; Mechanical Engineering,Brown University,
United States,"Co-Founder, COO and Head of Product at Float",Founder at AKOS,University of Pennsylvania - The Wharton School,Business Economics,Brown University,
"New York, New York, United States","Vice President, Americas B2B eCommerce Center of Excellence at the LEGO Group","Head of Digital, North America eCommerce at Richemont",Harvard Business School,"Commerce, Organizations & Entrepreneurship",Brown University,
500+ connections,Venture Fellow Lead at MiraclePlus (former Y Combinator China),Data Science Intern at Tovala,University of Chicago,Computational Social Science,Brown University,
San Francisco Bay Area,Chief Executive Officer at Packagecloud,Operations & Security Strategy at Packagecloud,Brown University,Cybersecurity,Brown University,
New York City Metropolitan Area,Co-Founder and President at Talent Tech Labs,"Board Director at UMS Group, Inc",Brown University,Engineering / Economics,Brown University,
San Francisco Bay Area,"Chief Executive Officer, Co-founder, Director at Providence Medical Technology, Inc.",Supervisory Board Member at HoloSurgical,Brown University,Organizational Behavior and Management,Brown University,
"New York, New York, United States",Head Of Operations at Yoni Circle,Chief Operating Officer at 305 Fitness,Brown University,"Sociology, French",Brown University,
"Austin, Texas, United States",Founder and CEO at PreFix Inc.,"Director, Program Management and Strategy at Rev Worldwide",The University of Chicago Booth School of Business,"Finance, Strategic Management",Brown University,
San Francisco Bay Area,Managing Director at LionTree LLC,"Managing Director, Global Co-Head of Internet & Digital Media Investment Banking at Bank of America Merrill Lynch",Stanford Law School,"Economics, Political Science",Brown University,
New York City Metropolitan Area,Chief Marketing Officer & Co-founder at Oscar Massin,Chief Marketing Officer at John Hardy,1993–1997,Visual Art & English Lit,Brown University,
Peru,Vice Presidente de Tecnología  at Intercorp Retail,Vicepresidente de Tecnologia at Ransa,Georgetown University,International Business Diplomacy,Brown University,
"New York, New York, United States",SVP - Operations Strategy & Development at Wonder,Chief Business Development Officer at Boxed,Brown University,,Brown University,
